TR.ID,Block,Res.id,Count,Sp,ML,Dil,T0,Sp.rep,Treat
152,B,C.d,404,SR,28.57142857,10000,166666.6667,PC,LA
153,C,C.e,232,SR,28.57142857,10000,166666.6667,OD,LA
154,C,C.e,120,SR,28.57142857,10000,166666.6667,VG,LA
155,C,C.e,456,SR,28.57142857,10000,166666.6667,AA,LA
156,C,C.e,64,SR,28.57142857,10000,166666.6667,SR,LA
157,C,C.e,434,SR,28.57142857,10000,166666.6667,PC,LA
158,C,C.f,666,SR,28.57142857,10000,166666.6667,OD,LA
159,C,C.f,464,SR,28.57142857,10000,166666.6667,VG,LA
160,C,C.f,114,SR,28.57142857,10000,166666.6667,AA,LA
161,C,C.f,436,SR,28.57142857,10000,166666.6667,SR,LA
162,C,C.f,60,SR,28.57142857,10000,166666.6667,PC,LA
163,D,C.g,340,SR,28.57142857,10000,166666.6667,OD,LA
164,D,C.g,332,SR,28.57142857,10000,166666.6667,VG,LA
165,D,C.g,NA,SR,28.57142857,10000,166666.6667,AA,LA
166,D,C.g,250,SR,28.57142857,10000,166666.6667,SR,LA
167,D,C.g,390,SR,28.57142857,10000,166666.6667,PC,LA
168,D,C.h,140,SR,28.57142857,10000,166666.6667,OD,LA
169,D,C.h,NA,SR,28.57142857,10000,166666.6667,VG,LA
170,D,C.h,308,SR,28.57142857,10000,166666.6667,AA,LA
171,D,C.h,298,SR,28.57142857,10000,166666.6667,SR,LA
172,D,C.h,218,SR,28.57142857,10000,166666.6667,PC,LA
173,E,C.i,242,SR,28.57142857,10000,166666.6667,OD,LA
174,E,C.i,544,SR,28.57142857,10000,166666.6667,VG,LA
175,E,C.i,242,SR,28.57142857,10000,166666.6667,AA,LA
176,E,C.i,594,SR,28.57142857,10000,166666.6667,SR,LA
177,E,C.i,618,SR,28.57142857,10000,166666.6667,PC,LA
178,E,C.j,352,SR,28.57142857,10000,166666.6667,OD,LA
179,E,C.j,506,SR,28.57142857,10000,166666.6667,VG,LA
180,E,C.j,300,SR,28.57142857,10000,166666.6667,AA,LA
181,E,C.j,230,SR,28.57142857,10000,166666.6667,SR,LA
182,E,C.j,382,SR,28.57142857,10000,166666.6667,PC,LA
183,F,C.k,528,SR,28.57142857,10000,166666.6667,OD,LA
184,F,C.k,626,SR,28.57142857,10000,166666.6667,VG,LA
185,F,C.k,482,SR,28.57142857,10000,166666.6667,AA,LA
186,F,C.k,546,SR,28.57142857,10000,166666.6667,SR,LA
187,F,C.k,630,SR,28.57142857,10000,166666.6667,PC,LA
188,F,C.l,350,SR,28.57142857,10000,166666.6667,OD,LA
189,F,C.l,430,SR,28.57142857,10000,166666.6667,VG,LA
190,F,C.l,646,SR,28.57142857,10000,166666.6667,AA,LA
191,F,C.l,494,SR,28.57142857,10000,166666.6667,SR,LA
192,F,C.l,308,SR,28.57142857,10000,166666.6667,PC,LA
193,A,C.a,562,SR,28.57142857,10000,166666.6667,OD,AN
194,A,C.a,272,SR,28.57142857,10000,166666.6667,VG,AN
195,A,C.a,466,SR,28.57142857,10000,166666.6667,AA,AN
196,A,C.a,128,SR,28.57142857,10000,166666.6667,SR,AN
197,A,C.a,372,SR,28.57142857,10000,166666.6667,PC,AN
198,A,C.b,192,SR,28.57142857,10000,166666.6667,OD,AN
199,A,C.b,146,SR,28.57142857,10000,166666.6667,VG,AN
200,A,C.b,402,SR,28.57142857,10000,166666.6667,AA,AN
201,A,C.b,224,SR,28.57142857,10000,166666.6667,SR,AN
202,A,C.b,226,SR,28.57142857,10000,166666.6667,PC,AN
203,B,C.c,298,SR,28.57142857,10000,166666.6667,OD,AN
204,B,C.c,408,SR,28.57142857,10000,166666.6667,VG,AN
205,B,C.c,234,SR,28.57142857,10000,166666.6667,AA,AN
206,B,C.c,236,SR,28.57142857,10000,166666.6667,SR,AN
207,B,C.c,300,SR,28.57142857,10000,166666.6667,PC,AN
208,B,C.d,358,SR,28.57142857,10000,166666.6667,OD,AN
209,B,C.d,396,SR,28.57142857,10000,166666.6667,VG,AN
210,B,C.d,498,SR,28.57142857,10000,166666.6667,AA,AN
211,B,C.d,574,SR,28.57142857,10000,166666.6667,SR,AN
212,B,C.d,738,SR,28.57142857,10000,166666.6667,PC,AN
213,C,C.e,488,SR,28.57142857,10000,166666.6667,OD,AN
214,C,C.e,696,SR,28.57142857,10000,166666.6667,VG,AN
215,C,C.e,100,SR,28.57142857,10000,166666.6667,AA,AN
216,C,C.e,328,SR,28.57142857,10000,166666.6667,SR,AN
217,C,C.e,136,SR,28.57142857,10000,166666.6667,PC,AN
218,C,C.f,448,SR,28.57142857,10000,166666.6667,OD,AN
219,C,C.f,182,SR,28.57142857,10000,166666.6667,VG,AN
220,C,C.f,324,SR,28.57142857,10000,166666.6667,AA,AN
221,C,C.f,328,SR,28.57142857,10000,166666.6667,SR,AN
222,C,C.f,242,SR,28.57142857,10000,166666.6667,PC,AN
223,D,C.g,202,SR,28.57142857,10000,166666.6667,OD,AN
224,D,C.g,300,SR,28.57142857,10000,166666.6667,VG,AN
225,D,C.g,288,SR,28.57142857,10000,166666.6667,AA,AN
226,D,C.g,68,SR,28.57142857,10000,166666.6667,SR,AN
227,D,C.g,26,SR,28.57142857,10000,166666.6667,PC,AN
228,D,C.h,320,SR,28.57142857,10000,166666.6667,OD,AN
229,D,C.h,284,SR,28.57142857,10000,166666.6667,VG,AN
230,D,C.h,324,SR,28.57142857,10000,166666.6667,AA,AN
231,D,C.h,320,SR,28.57142857,10000,166666.6667,SR,AN
232,D,C.h,340,SR,28.57142857,10000,166666.6667,PC,AN
233,E,C.i,594,SR,28.57142857,10000,166666.6667,OD,AN
234,E,C.i,640,SR,28.57142857,10000,166666.6667,VG,AN
235,E,C.i,742,SR,28.57142857,10000,166666.6667,AA,AN
236,E,C.i,502,SR,28.57142857,10000,166666.6667,SR,AN
237,E,C.i,640,SR,28.57142857,10000,166666.6667,PC,AN
238,E,C.j,434,SR,28.57142857,10000,166666.6667,OD,AN
239,E,C.j,448,SR,28.57142857,10000,166666.6667,VG,AN
