Comm,Sp,Time,Count,Dilution,Dil_fact
Comm11,Aa,T2,93,100000,16.66666667
Comm11,Vg,T2,27,100000,16.66666667
Comm11,Od,T2,34,100000,16.66666667
Comm12,Pc,T2,7,100000,16.66666667
Comm12,Sr,T2,36,100000,16.66666667
Comm12,Aa,T2,59,100000,16.66666667
Comm12,Vg,T2,45,100000,16.66666667
Comm12,Od,T2,71,100000,16.66666667
Comm13,Pc,T2,4,100000,16.66666667
Comm13,Sr,T2,6,100000,16.66666667
Comm13,Aa,T2,95,100000,16.66666667
Comm13,Vg,T2,66,100000,16.66666667
Comm13,Od,T2,79,100000,16.66666667
Comm14,Pc,T2,0,100000,16.66666667
Comm14,Sr,T2,20,100000,16.66666667
Comm14,Aa,T2,58,100000,16.66666667
Comm14,Vg,T2,37,100000,16.66666667
Comm14,Od,T2,38,100000,16.66666667
Comm15,Pc,T2,7,100000,16.66666667
Comm15,Sr,T2,56,100000,16.66666667
Comm15,Aa,T2,71,100000,16.66666667
Comm15,Vg,T2,77,100000,16.66666667
Comm15,Od,T2,72,100000,16.66666667
Comm16,Pc,T2,1,100000,16.66666667
Comm16,Sr,T2,74,100000,16.66666667
Comm16,Aa,T2,127,100000,16.66666667
Comm16,Vg,T2,8,100000,16.66666667
Comm16,Od,T2,60,100000,16.66666667
Comm17,Pc,T2,19,100000,16.66666667
Comm17,Sr,T2,45,100000,16.66666667
Comm17,Aa,T2,106,100000,16.66666667
Comm17,Vg,T2,32,100000,16.66666667
Comm17,Od,T2,33,100000,16.66666667
Comm18,Pc,T2,1,100000,16.66666667
Comm18,Sr,T2,5,100000,16.66666667
Comm18,Aa,T2,35,100000,16.66666667
Comm18,Vg,T2,61,100000,16.66666667
Comm18,Od,T2,58,100000,16.66666667
Comm19,Pc,T2,0,100000,16.66666667
Comm19,Sr,T2,24,100000,16.66666667
Comm19,Aa,T2,90,100000,16.66666667
Comm19,Vg,T2,15,100000,16.66666667
Comm19,Od,T2,75,100000,16.66666667
Comm20,Pc,T2,22,100000,16.66666667
Comm20,Sr,T2,103,100000,16.66666667
Comm20,Aa,T2,130,100000,16.66666667
Comm20,Vg,T2,17,100000,16.66666667
Comm20,Od,T2,50,100000,16.66666667
Comm21,Pc,T2,12,100000,16.66666667
Comm21,Sr,T2,41,100000,16.66666667
Comm21,Aa,T2,101,100000,16.66666667
Comm21,Vg,T2,55,100000,16.66666667
Comm21,Od,T2,46,100000,16.66666667
Comm22,Pc,T2,10,100000,16.66666667
Comm22,Sr,T2,33,100000,16.66666667
Comm22,Aa,T2,83,100000,16.66666667
Comm22,Vg,T2,81,100000,16.66666667
Comm22,Od,T2,30,100000,16.66666667
Comm23,Pc,T2,14,100000,16.66666667
Comm23,Sr,T2,64,100000,16.66666667
Comm23,Aa,T2,48,100000,16.66666667
