Treatment,Block,Res.com.ID,Inv.sp,coev,Res.count,Inv.count,T0.res,T0.inv,Dilution,ML,Froz.fact
257,B1,A,PC,A,1030,80,666666.6667,6666.666667,10000,28.57142857,2
258,B1,B,OD,A,714,100,666666.6667,6666.666667,10000,28.57142857,2
259,B1,B,VG,A,692,206,666666.6667,6666.666667,10000,28.57142857,2
260,B1,B,AA,A,960,50,666666.6667,6666.666667,10000,28.57142857,2
261,B1,B,SR,A,490,736,666666.6667,6666.666667,10000,28.57142857,2
262,B1,B,PC,A,1162,118,666666.6667,6666.666667,10000,28.57142857,2
263,B2,C,OD,A,888,52,666666.6667,6666.666667,10000,28.57142857,2
264,B2,C,VG,A,510,138,666666.6667,6666.666667,10000,28.57142857,2
265,B2,C,AA,A,980,46,666666.6667,6666.666667,10000,28.57142857,2
266,B2,C,SR,A,682,410,666666.6667,6666.666667,10000,28.57142857,2
267,B2,C,PC,A,854,2,666666.6667,6666.666667,10000,28.57142857,2
268,B2,D,OD,A,912,62,666666.6667,6666.666667,10000,28.57142857,2
269,B2,D,VG,A,700,226,666666.6667,6666.666667,10000,28.57142857,2
270,B2,D,AA,A,714,58,666666.6667,6666.666667,10000,28.57142857,2
271,B2,D,SR,A,606,20,666666.6667,6666.666667,10000,28.57142857,2
272,B2,D,PC,A,1258,46,666666.6667,6666.666667,10000,28.57142857,2
273,B3,E,OD,A,854,24,666666.6667,6666.666667,10000,28.57142857,2
274,B3,E,VG,A,528,434,666666.6667,6666.666667,10000,28.57142857,2
275,B3,E,AA,A,852,8,666666.6667,6666.666667,10000,28.57142857,2
276,B3,E,SR,A,328,432,666666.6667,6666.666667,10000,28.57142857,2
277,B3,E,PC,A,696,16,666666.6667,6666.666667,10000,28.57142857,2
278,B3,F,OD,A,900,134,666666.6667,6666.666667,10000,28.57142857,2
279,B3,F,VG,A,360,136,666666.6667,6666.666667,10000,28.57142857,2
280,B3,F,AA,A,818,10,666666.6667,6666.666667,10000,28.57142857,2
281,B3,F,SR,A,626,276,666666.6667,6666.666667,10000,28.57142857,2
282,B3,F,PC,A,1538,36,666666.6667,6666.666667,10000,28.57142857,2
283,B4,G,OD,A,804,130,666666.6667,6666.666667,10000,28.57142857,2
284,B4,G,VG,A,986,388,666666.6667,6666.666667,10000,28.57142857,2
285,B4,G,AA,A,1006,42,666666.6667,6666.666667,10000,28.57142857,2
286,B4,G,SR,A,608,502,666666.6667,6666.666667,10000,28.57142857,2
287,B4,G,PC,A,654,38,666666.6667,6666.666667,10000,28.57142857,2
288,B4,H,OD,A,666,80,666666.6667,6666.666667,10000,28.57142857,2
289,B4,H,VG,A,963,110,666666.6667,6666.666667,10000,28.57142857,2
290,B4,H,AA,A,950,60,666666.6667,6666.666667,10000,28.57142857,2
291,B4,H,SR,A,534,574,666666.6667,6666.666667,10000,28.57142857,2
292,B4,H,PC,A,750,20,666666.6667,6666.666667,10000,28.57142857,2
293,B5,I,OD,A,1244,48,666666.6667,6666.666667,10000,28.57142857,2
294,B5,I,VG,A,430,226,666666.6667,6666.666667,10000,28.57142857,2
295,B5,I,AA,A,1128,20,666666.6667,6666.666667,10000,28.57142857,2
296,B5,I,SR,A,1072,62,666666.6667,6666.666667,10000,28.57142857,2
297,B5,I,PC,A,828,34,666666.6667,6666.666667,10000,28.57142857,2
298,B5,J,OD,A,938,40,666666.6667,6666.666667,10000,28.57142857,2
299,B5,J,VG,A,1150,18,666666.6667,6666.666667,10000,28.57142857,2
300,B5,J,AA,A,962,2,666666.6667,6666.666667,10000,28.57142857,2
301,B5,J,SR,A,906,102,666666.6667,6666.666667,10000,28.57142857,2
