SP,OD600
SR,0.243
SR,0.345
SR,0.196
SR,0.05
SR,0.047
SR,0.216
SR,0.244
SR,0.273
SR,0.261
SR,0.369
SR,0.209
SR,0.049
SR,0.047
SR,0.232
SR,0.262
SR,0.291
SR,0.282
SR,0.396
SR,0.223
SR,0.05
SR,0.047
SR,0.249
SR,0.281
SR,0.313
SR,0.303
SR,0.425
SR,0.239
SR,0.049
SR,0.047
SR,0.267
SR,0.303
SR,0.336
SR,0.323
SR,0.455
SR,0.256
SR,0.049
SR,0.047
SR,0.287
SR,0.325
SR,0.363
SR,0.345
SR,0.486
SR,0.274
SR,0.049
SR,0.048
SR,0.309
SR,0.35
SR,0.388
SR,0.374
SR,0.519
SR,0.295
SR,0.049
SR,0.047
SR,0.332
SR,0.377
SR,0.418
SR,0.398
SR,0.551
SR,0.318
SR,0.049
SR,0.047
SR,0.358
SR,0.407
SR,0.446
SR,0.432
SR,0.583
SR,0.341
SR,0.049
SR,0.047
SR,0.385
SR,0.438
SR,0.478
SR,0.464
SR,0.615
SR,0.368
SR,0.049
SR,0.047
SR,0.415
SR,0.471
SR,0.512
SR,0.499
SR,0.648
SR,0.396
SR,0.05
SR,0.047
SR,0.446
SR,0.505
SR,0.548
SR,0.534
SR,0.679
SR,0.425
SR,0.049
SR,0.047
SR,0.478
SR,0.539
SR,0.586
SR,0.57
SR,0.709
SR,0.456
SR,0.049
SR,0.047
SR,0.512
SR,0.574
SR,0.626
SR,0.604
SR,0.739
SR,0.49
SR,0.049
SR,0.047
SR,0.546
SR,0.609
SR,0.664
SR,0.638
SR,0.768
SR,0.525
SR,0.049
SR,0.047
SR,0.58
SR,0.642
SR,0.699
SR,0.673
SR,0.793
SR,0.56
SR,0.05
SR,0.047
SR,0.614
SR,0.676
SR,0.732
SR,0.707
SR,0.814
SR,0.595
SR,0.05
SR,0.047
SR,0.649
SR,0.708
SR,0.765
SR,0.741
SR,0.83
SR,0.63
SR,0.049
SR,0.047
SR,0.682
SR,0.739
SR,0.794
SR,0.771
SR,0.839
SR,0.664
SR,0.05
SR,0.047
SR,0.712
SR,0.767
SR,0.818
SR,0.798
SR,0.846
SR,0.698
SR,0.049
SR,0.047
SR,0.741
SR,0.792
SR,0.835
SR,0.821
SR,0.851
SR,0.73
SR,0.049
SR,0.047
SR,0.768
SR,0.815
SR,0.845
SR,0.841
SR,0.857
SR,0.761
SR,0.05
SR,0.047
SR,0.793
SR,0.834
SR,0.852
SR,0.855
SR,0.863
SR,0.789
SR,0.049
SR,0.047
SR,0.814
SR,0.848
SR,0.858
SR,0.864
SR,0.87
SR,0.813
SR,0.049
SR,0.047
SR,0.832
SR,0.858
SR,0.863
SR,0.87
SR,0.876
SR,0.834
SR,0.05
SR,0.047
SR,0.848
SR,0.865
SR,0.869
SR,0.877
SR,0.883
SR,0.847
SR,0.049
SR,0.047
SR,0.86
SR,0.872
SR,0.875
SR,0.884
SR,0.889
SR,0.857
SR,0.049
SR,0.047
SR,0.868
SR,0.879
SR,0.882
SR,0.892
SR,0.895
SR,0.864
SR,0.049
SR,0.047
SR,0.875
SR,0.886
SR,0.889
SR,0.901
SR,0.901
SR,0.871
SR,0.049
SR,0.047
SR,0.883
SR,0.895
SR,0.896
SR,0.908
SR,0.907
SR,0.877
SR,0.049
SR,0.047
SR,0.889
SR,0.903
SR,0.904
SR,0.918
SR,0.911
SR,0.885
SR,0.049
SR,0.047
SR,0.896
SR,0.911
SR,0.909
SR,0.926
SR,0.913
SR,0.893
SR,0.049
SR,0.047
SR,0.903
SR,0.918
SR,0.909
SR,0.931
SR,0.912
SR,0.899
SR,0.049
SR,0.047
SR,0.909
SR,0.924
SR,0.909
SR,0.937
SR,0.913
SR,0.907
SR,0.049
SR,0.047
SR,0.917
SR,0.93
SR,0.91
SR,0.939
SR,0.913
SR,0.912
SR,0.05
SR,0.047
SR,0.924
SR,0.934
SR,0.912
SR,0.942
SR,0.913
SR,0.92
SR,0.049
SR,0.047
SR,0.928
SR,0.934
SR,0.913
SR,0.937
SR,0.916
SR,0.925
SR,0.049
SR,0.047
SR,0.935
