TR.ID,Block,Res.id,Count,Sp,Treat,N.fit2,sp.cfu,sp.fit,sp.rel.fit2
239,E,C.j,158,VG,AN,7.151037535,90285714.28,6.294738714,0.880255303
240,E,C.j,58,AA,AN,5.016333315,33142857.14,5.292586692,1.055070778
241,E,C.j,704,SR,AN,6.769477948,402285714.3,7.788922037,1.150594196
242,E,C.j,27,PC,AN,3.797093039,15428571.43,4.527980547,1.192486068
243,F,C.k,80,OD,AN,6.173786104,45714285.71,5.614170316,0.909356142
244,F,C.k,130,VG,AN,7.000464677,74285714.28,6.099678131,0.87132475
245,F,C.k,72,AA,AN,5.016333315,41142857.14,5.5088098,1.098174594
246,F,C.k,316,SR,AN,7.748336757,180571428.6,6.987885895,0.901856245
247,F,C.k,54,PC,AN,4.633341063,30857142.86,5.221127728,1.12686022
248,F,C.l,156,OD,AN,6.173786104,89142857.14,6.281999688,1.017527913
249,F,C.l,292,VG,AN,6.859764795,166857142.8,6.908897483,1.007162445
250,F,C.l,68,AA,AN,5.753932258,38857142.86,5.451651386,0.947465341
251,F,C.l,604,SR,AN,6.457890355,345142857.1,7.635717879,1.182385804
252,F,C.l,34,PC,AN,3.02390315,19428571.43,4.758504206,1.573629832
